current_company,target_company,years_of_experience,current_salary,expected_salary,gender,location,current_role,sector,education,certifications,skills,current_company_tier,target_company_tier
accenture,ibm,9.3,3101210,4584210,Female,Mumbai,Senior Developer,IT,Bachelor,SAFe Agilist Certification,Cybersecurity,2,2
salesforce,microsoft,3.8,2259127,3116887,Male,Noida,System Administrator,IT,Bachelor,Cisco Certified Internetwork Expert (CCIE),Cybersecurity,1,1
infosys,accenture,5.2,2301813,2939742,Male,Hyderabad,Cloud Architect,IT,PhD,Microsoft Certified: Azure Solutions Architect Expert,FastAPI,3,2
salesforce,infosys,6.0,2001157,3031722,Male,Kolkata,Business Intelligence Analyst,IT,PhD,Certified Ethical Hacker (CEH),Machine Learning,1,3
accenture,zensar,9.4,2131790,3046792,Male,Mumbai,Product Manager,IT,Master,ITIL Foundation,Cybersecurity,2,4
meta,apple,8.0,1918926,2667562,Female,Gurgaon,Release Manager,IT,PhD,Google Cloud Professional Security Engineer,Power BI,1,1
netflix,tcs,6.8,2455881,3881036,Female,Bangalore,Data Scientist,IT,Bachelor,Cisco Certified Network Professional (CCNP),JavaScript,1,3
meta,apple,6.1,1129322,1402498,Male,Pune,Senior Developer,IT,Master,Docker Certified Associate (DCA),SAML,1,1
happiest-minds,hcl,5.9,1766894,2712557,Male,Gurgaon,Scrum Master,IT,Bachelor,Google Cloud Associate Cloud Engineer,Single Sign-On,5,3
apple,deloitte,10.1,950951,1490267,Female,Gurgaon,QA Engineer,IT,PhD,Microsoft Certified: Azure Security Engineer Associate,React,1,2
happiest-minds,apple,12.3,1190120,1682754,Male,Bangalore,Security Engineer,IT,Master,AWS Certified Solutions Architect - Professional,Big Data,5,1
happiest-minds,adobe,5.2,2161050,2773844,Female,Chennai,Data Engineer,IT,PhD,None,MLOps,5,1
linkedin,valuelabs,7.4,1373204,2138167,Male,Chennai,Tech Lead,IT,Bachelor,Certified Kubernetes Application Developer (CKAD),Cloud Computing,1,5
amazon,netflix,14.5,2183615,2621248,Male,Noida,AI Researcher,IT,Bachelor,Microsoft Certified: Azure Solutions Architect Expert,API Gateway,1,1
accenture,meta,4.3,1078220,1377567,Male,Noida,QA Engineer,IT,Master,ITIL Expert,REST APIs,2,1
uber,microsoft,13.9,3485810,4981544,Other,Delhi,UX/UI Designer,IT,PhD,Certified Data Professional (CDP),Computer Vision,1,1
valuelabs,amazon,7.5,1202832,1874950,Female,Chennai,Business Analyst,IT,Master,Cisco Certified Network Professional (CCNP),Vulnerability Assessment,5,1
netflix,infosys,13.9,2324852,3232577,Male,Pune,System Administrator,IT,PhD,Red Hat Certified Engineer (RHCE),React,1,3
microsoft,sap,13.3,1232380,1730725,Male,Mumbai,Quality Assurance Lead,IT,Bachelor,Microsoft Certified: Azure Fundamentals,Code Review,1,2
apple,oracle,13.4,2876247,4418868,Male,Kolkata,Software Architect,IT,PhD,Certified Kubernetes Security Specialist (CKS),MySQL,1,2
accenture,microsoft,12.7,1640056,2546002,Female,Bangalore,Security Engineer,IT,Bachelor,Google Cloud Professional Data Engineer,Vulnerability Assessment,2,1
accenture,sap,13.5,2901498,3722201,Male,Delhi,Network Engineer,IT,Bachelor,Red Hat Certified Engineer (RHCE),Cybersecurity,2,2
ibm,microsoft,10.8,3408857,4584163,Female,Hyderabad,Cybersecurity Specialist,IT,PhD,Oracle Database Administrator Certified Professional,Event-Driven Architecture,2,1
linkedin,meta,10.4,2925122,3861401,Female,Hyderabad,Mobile App Developer,IT,PhD,AWS Certified Solutions Architect - Associate,Natural Language Processing,1,1
amazon,tcs,14.4,2382075,3299117,Other,Delhi,Infrastructure Engineer,IT,Bachelor,AWS Certified Machine Learning - Specialty,Apache Kafka,1,3
coforge,cts,1.7,1715254,2190047,Male,Gurgaon,Full Stack Developer,IT,PhD,Project Management Professional (PMP),SQL,5,3
ibm,tcs,6.4,1563112,2300282,Male,Gurgaon,Infrastructure Engineer,IT,PhD,Microsoft Certified: Azure Data Scientist Associate,Network Security,2,3
wipro,tcs,14.7,3235153,5121868,Male,Hyderabad,Project Manager,IT,PhD,Microsoft Certified: Azure Data Engineer Associate,Angular,3,3
happiest-minds,microsoft,10.1,2192343,3445987,Male,Noida,System Administrator,IT,PhD,CompTIA CySA+,Vulnerability Assessment,5,1
wipro,ibm,11.4,1968873,2555196,Male,Noida,Tech Lead,IT,Bachelor,Certified Scrum Master (CSM),NoSQL,3,2
coforge,accenture,4.9,1636151,2563502,Male,Pune,Data Engineer,IT,PhD,Certified Kubernetes Administrator (CKA),FastAPI,5,2
sap,zensar,2.1,2825463,4507385,Female,Noida,Quality Assurance Lead,IT,PhD,Red Hat Certified Engineer (RHCE),Test Automation,2,4
meta,cts,7.3,2236555,3230210,Male,Chennai,Network Engineer,IT,PhD,AWS Certified Developer - Associate,Lambda Functions,1,3
tcs,microsoft,9.0,2986204,4350254,Male,Mumbai,Performance Engineer,IT,Bachelor,AWS Certified Machine Learning - Specialty,Test Automation,3,1
hcl,zensar,3.2,652231,927127,Male,Delhi,System Administrator,IT,Master,SAFe Agilist Certification,Lambda Functions,3,4
hexaware,coforge,2.0,599739,825876,Male,Chennai,Infrastructure Engineer,IT,Bachelor,Microsoft Certified: Azure Administrator Associate,Cybersecurity,4,5
happiest-minds,wipro,9.5,2201248,2796037,Male,Mumbai,Senior Developer,IT,PhD,Cisco Certified Internetwork Expert (CCIE),Kanban,5,3
netflix,google,13.6,3198313,4703913,Female,Chennai,Tech Lead,IT,Bachelor,CompTIA Network+,Serverless Architecture,1,1
meta,happiest-minds,4.2,2451331,3682867,Female,Bangalore,Software Architect,IT,PhD,Google Cloud Professional DevOps Engineer,Security Testing,1,5
valuelabs,microsoft,2.8,1438767,2074848,Male,Bangalore,Site Reliability Engineer,IT,PhD,Certified Cloud Security Professional (CCSP),DevOps,5,1
wipro,apple,3.4,3013763,3948037,Female,Mumbai,Platform Engineer,IT,PhD,Professional Scrum Master (PSM),GitHub Actions,3,1
valuelabs,meta,14.4,998706,1288463,Female,Kolkata,Cloud Engineer,IT,Master,Docker Certified Associate (DCA),Full Stack Development,5,1
microsoft,apple,14.1,1467899,2263662,Male,Chennai,QA Engineer,IT,PhD,None,Data Engineering,1,1
microsoft,meta,8.5,2408981,3132593,Female,Gurgaon,QA Engineer,IT,Bachelor,Microsoft Certified: Azure Data Scientist Associate,Deep Learning,1,1
adobe,microsoft,6.1,1661544,2580533,Male,Bangalore,AI Researcher,IT,Master,CompTIA Security+,Identity Management,1,1
salesforce,apple,11.9,1831957,2281723,Female,Kolkata,System Administrator,IT,PhD,Google Cloud Professional Cloud Architect,Agile,1,1
ibm,virtusa,7.2,2518038,3534757,Male,Bangalore,Solution Architect,IT,Master,Salesforce Certified Administrator,Cryptocurrency,2,4
salesforce,wipro,13.4,2884175,4529388,Female,Gurgaon,Technical Lead,IT,Bachelor,Certified Data Professional (CDP),Java,1,3
hexaware,salesforce,9.6,1359844,1850170,Female,Pune,AI Researcher,IT,PhD,Microsoft Certified: Azure Data Engineer Associate,Message Queues,4,1
wipro,valuelabs,11.1,1728193,2174836,Male,Hyderabad,Data Analyst,IT,PhD,Microsoft Certified: Azure Data Scientist Associate,MySQL,3,5
uber,deloitte,2.8,2085645,2872557,Female,Bangalore,System Administrator,IT,PhD,Certified Kubernetes Application Developer (CKAD),Message Queues,1,2
microsoft,oracle,6.9,2060247,2968376,Female,Kolkata,Database Administrator,IT,Master,VMware Certified Professional (VCP),MySQL,1,2
infosys,zensar,12.6,2843305,4298342,Other,Hyderabad,Senior Developer,IT,Bachelor,Certified Ethical Hacker (CEH),ElasticSearch,3,4
sap,deloitte,4.2,2738936,3366924,Female,Kolkata,Blockchain Developer,IT,PhD,Certified Data Professional (CDP),Integration Testing,2,2
hexaware,cts,2.4,2927251,4213208,Male,Mumbai,Infrastructure Engineer,IT,PhD,Certified Scrum Master (CSM),Vulnerability Assessment,4,3
coforge,zensar,3.4,1674394,2426428,Female,Gurgaon,Full Stack Developer,IT,PhD,AWS Cloud Practitioner,Integration Testing,5,4
valuelabs,virtusa,3.1,2960429,3601827,Male,Bangalore,Scrum Master,IT,PhD,Google Cloud Professional Security Engineer,Full Stack Development,5,4
uber,tcs,13.5,1244373,1604775,Male,Delhi,Cloud Engineer,IT,Master,Microsoft Certified: Azure AI Engineer Associate,CI/CD,1,3
salesforce,amazon,5.8,659264,909328,Male,Bangalore,System Administrator,IT,Master,Microsoft Certified: Azure AI Engineer Associate,Agile,1,1
linkedin,zensar,5.9,2194647,3292674,Male,Chennai,Data Scientist,IT,Master,Docker Certified Associate (DCA),Vulnerability Assessment,1,4
salesforce,netflix,11.8,2170424,3127146,Male,Gurgaon,UX/UI Designer,IT,PhD,CompTIA Network+,Cryptocurrency,1,1
netflix,ibm,12.1,1863633,2811139,Female,Gurgaon,Senior Developer,IT,Bachelor,Certified Information Security Manager (CISM),IoT,1,2
happiest-minds,microsoft,11.5,1931007,2429853,Female,Kolkata,Technical Lead,IT,Bachelor,Microsoft Certified: Azure Security Engineer Associate,Microsoft Azure,5,1
cts,valuelabs,12.0,1281781,1667495,Female,Pune,Software Architect,IT,PhD,Microsoft Certified: Azure Fundamentals,Vulnerability Assessment,3,5
uber,coforge,6.2,2811563,4186533,Female,Gurgaon,Data Engineer,IT,Master,ITIL Foundation,Ansible,1,5
sap,oracle,7.5,1325892,1604713,Male,Chennai,Business Analyst,IT,Master,Salesforce Certified Administrator,FastAPI,2,2
accenture,cts,13.7,1613419,2022897,Male,Hyderabad,System Administrator,IT,Bachelor,CompTIA CySA+,Tableau,2,3
wipro,hcl,11.6,2174249,2627642,Male,Delhi,Tech Lead,IT,Bachelor,AWS Certified Solutions Architect - Professional,Single Sign-On,3,3
uber,amazon,13.0,2908152,4000228,Male,Gurgaon,Release Manager,IT,PhD,Docker Certified Associate (DCA),Computer Vision,1,1
meta,google,6.5,1004150,1282165,Female,Chennai,System Administrator,IT,Master,Cisco Certified Network Professional (CCNP),Cloud Security,1,1
happiest-minds,adobe,11.5,1509682,2330774,Male,Gurgaon,Product Manager,IT,Bachelor,None,Machine Learning,5,1
netflix,happiest-minds,4.4,2409714,3389549,Male,Delhi,Data Engineer,IT,Bachelor,AWS Certified Solutions Architect - Professional,Power BI,1,5
sap,ibm,8.9,2877957,3609450,Female,Bangalore,AI Researcher,IT,Master,Oracle MySQL Database Administration,Event-Driven Architecture,2,2
accenture,apple,11.7,1529208,1899067,Male,Mumbai,Project Manager,IT,Master,SAFe Agilist Certification,Natural Language Processing,2,1
hexaware,linkedin,9.9,3280065,4101174,Female,Gurgaon,Senior Developer,IT,Bachelor,Google Cloud Professional Cloud Architect,Project Management,4,1
virtusa,uber,2.3,2029877,2604174,Male,Hyderabad,Platform Engineer,IT,Master,CompTIA A+,Information Security,4,1
zensar,happiest-minds,8.9,769060,970606,Female,Bangalore,Senior Developer,IT,Bachelor,Certified Ethical Hacker (CEH),Lambda Functions,4,5
valuelabs,amazon,2.6,3084796,4789629,Male,Noida,UX/UI Designer,IT,Master,AWS Certified Solutions Architect - Associate,MongoDB,5,1
wipro,deloitte,7.9,1838928,2307205,Male,Gurgaon,Site Reliability Engineer,IT,Bachelor,Project Management Professional (PMP),SAML,3,2
wipro,virtusa,11.0,3308829,4049813,Male,Chennai,Release Manager,IT,Master,CompTIA Cloud+,Full Stack Development,3,4
hcl,linkedin,13.8,3288361,4506079,Male,Hyderabad,Cybersecurity Specialist,IT,Bachelor,AWS Certified Security - Specialty,Apache Spark,3,1
oracle,amazon,9.6,2536418,3420887,Male,Kolkata,Machine Learning Engineer,IT,Master,Project Management Professional (PMP),Natural Language Processing,2,1
salesforce,accenture,2.3,1534118,2331174,Male,Noida,Cybersecurity Specialist,IT,PhD,AWS Certified Developer - Associate,Git,1,2
meta,oracle,14.0,2514987,3103229,Male,Delhi,Data Engineer,IT,Bachelor,CompTIA CySA+,REST APIs,1,2
deloitte,apple,13.9,2333932,3352389,Male,Kolkata,Software Architect,IT,Master,Microsoft Certified: Azure Security Engineer Associate,Network Security,2,1
hexaware,linkedin,7.4,2376371,3542639,Female,Hyderabad,UX/UI Designer,IT,Master,Certified Information Systems Auditor (CISA),Edge Computing,4,1
linkedin,hcl,4.9,2260910,2771347,Female,Hyderabad,Performance Engineer,IT,Bachelor,AWS Certified Machine Learning - Specialty,TypeScript,1,3
microsoft,sap,7.6,2533287,3296213,Female,Hyderabad,QA Engineer,IT,Bachelor,None,Database Management,1,2
sap,meta,9.4,2461249,3802446,Male,Gurgaon,Software Architect,IT,PhD,AWS Certified Security - Specialty,Big Data,2,1
zensar,valuelabs,11.9,2998620,3679705,Male,Bangalore,Release Manager,IT,Master,Docker Certified Associate (DCA),Vue.js,4,5
meta,valuelabs,10.7,2650384,3215884,Female,Mumbai,Project Manager,IT,Bachelor,AWS Certified SysOps Administrator - Associate,Google Cloud Platform,1,5
sap,zensar,13.3,1799939,2758612,Male,Noida,AI Researcher,IT,Bachelor,Cisco Certified Network Associate (CCNA),Natural Language Processing,2,4
uber,sap,6.3,2454439,3550512,Male,Kolkata,Release Manager,IT,Master,Certificate of Cloud Security Knowledge (CCSK),Data Engineering,1,2
valuelabs,accenture,10.8,2409085,3054398,Male,Hyderabad,Data Analyst,IT,PhD,CompTIA Cloud+,React,5,2
salesforce,uber,9.9,1890312,2332648,Male,Mumbai,Performance Engineer,IT,Bachelor,CompTIA Security+,Vulnerability Assessment,1,1
accenture,amazon,6.8,1974462,2534802,Male,Pune,Data Scientist,IT,Master,CompTIA A+,Lambda Functions,2,1
valuelabs,accenture,11.7,2246426,3050805,Male,Chennai,Security Engineer,IT,PhD,TensorFlow Developer Certificate,React,5,2
uber,ibm,6.8,2353060,3513295,Male,Noida,Infrastructure Engineer,IT,PhD,Google Cloud Professional Cloud Architect,Microservices,1,2
zensar,apple,8.5,3191019,4242918,Male,Gurgaon,Security Engineer,IT,Bachelor,Oracle MySQL Database Administration,Unit Testing,4,1
happiest-minds,accenture,6.4,1052984,1468791,Male,Hyderabad,Site Reliability Engineer,IT,PhD,AWS Certified Machine Learning - Specialty,Power BI,5,2
infosys,happiest-minds,13.1,2706174,3834332,Male,Mumbai,Blockchain Developer,IT,PhD,AWS Certified Solutions Architect - Professional,Tableau,3,5
uber,cts,14.7,2663819,3228419,Male,Kolkata,Platform Engineer,IT,Master,AWS Certified SysOps Administrator - Associate,SAML,1,3
hcl,meta,4.7,3064857,4790727,Female,Noida,AI Researcher,IT,Master,TensorFlow Developer Certificate,MongoDB,3,1
meta,apple,9.2,2514692,3905641,Male,Mumbai,QA Engineer,IT,PhD,Certified Kubernetes Application Developer (CKAD),Google Cloud Platform,1,1
meta,tcs,13.9,3314939,4134708,Female,Delhi,Business Intelligence Analyst,IT,Bachelor,Certificate of Cloud Security Knowledge (CCSK),Full Stack Development,1,3
sap,oracle,9.4,900694,1394527,Female,Bangalore,Release Manager,IT,Bachelor,Microsoft Certified: Azure Data Engineer Associate,Apache Spark,2,2
microsoft,hexaware,3.2,1995764,2978868,Male,Delhi,Data Analyst,IT,Bachelor,Certified Kubernetes Administrator (CKA),API Gateway,1,4
wipro,google,2.5,2742254,3343844,Female,Mumbai,Site Reliability Engineer,IT,Bachelor,Cisco Certified Network Associate (CCNA),React,3,1
infosys,virtusa,2.0,1696354,2084097,Male,Gurgaon,Software Developer,IT,Bachelor,AWS Certified Data Analytics - Specialty,Project Management,3,4
tcs,valuelabs,11.6,972686,1359996,Male,Noida,Site Reliability Engineer,IT,Master,Microsoft Certified: Azure DevOps Engineer Expert,SQL,3,5
coforge,hexaware,11.0,1551627,1920418,Other,Mumbai,Performance Engineer,IT,Bachelor,Red Hat Certified Engineer (RHCE),Edge Computing,5,4
happiest-minds,adobe,14.3,3214808,5008311,Male,Noida,Senior Developer,IT,PhD,Certified Kubernetes Application Developer (CKAD),Big Data,5,1
hcl,netflix,4.2,2198165,2809033,Female,Delhi,Database Administrator,IT,PhD,Microsoft Certified: Azure Solutions Architect Expert,Microservices,3,1
apple,salesforce,12.5,2404696,2991305,Male,Noida,Senior Developer,IT,PhD,AWS Cloud Practitioner,Test Automation,1,1
happiest-minds,oracle,8.8,1140781,1764789,Female,Pune,Data Engineer,IT,Master,Certified Data Professional (CDP),GitHub Actions,5,2
sap,cts,1.7,2557693,4082697,Male,Chennai,DevOps Engineer,IT,Bachelor,CompTIA Security+,ElasticSearch,2,3
uber,coforge,9.2,2421235,3461464,Male,Bangalore,Cybersecurity Specialist,IT,PhD,Microsoft Certified: Azure AI Engineer Associate,Cloud Security,1,5
valuelabs,accenture,5.7,2497487,3725058,Male,Chennai,Blockchain Developer,IT,PhD,AWS Certified Security - Specialty,Performance Testing,5,2
apple,cts,14.4,1813785,2197890,Male,Gurgaon,Tech Lead,IT,Master,Oracle MySQL Database Administration,ElasticSearch,1,3
salesforce,sap,8.2,2358744,2921024,Male,Delhi,Cloud Engineer,IT,Master,Certified Cloud Security Professional (CCSP),Cloud Computing,1,2
deloitte,virtusa,9.2,1343493,1917158,Female,Mumbai,QA Engineer,IT,Master,Certified Kubernetes Security Specialist (CKS),Database Management,2,4
ibm,salesforce,2.5,2336347,3071141,Male,Kolkata,Product Manager,IT,Bachelor,Cisco Certified Network Associate (CCNA),Full Stack Development,2,1
google,virtusa,9.5,1434754,2102245,Male,Kolkata,Performance Engineer,IT,Master,CompTIA Cloud+,Vulnerability Assessment,1,4
deloitte,happiest-minds,9.4,3358531,4779230,Female,Delhi,Blockchain Developer,IT,Bachelor,Microsoft Certified: Azure AI Engineer Associate,Event-Driven Architecture,2,5
sap,google,1.4,2126172,3021031,Male,Bangalore,Infrastructure Engineer,IT,Master,Certified Data Professional (CDP),MySQL,2,1
accenture,uber,8.6,1682310,2553788,Female,Delhi,Cloud Architect,IT,Master,Microsoft Certified: Azure Fundamentals,Cloud Security,2,1
linkedin,deloitte,2.8,2644917,3326028,Female,Chennai,Platform Engineer,IT,PhD,Certified Cloud Security Professional (CCSP),Microservices,1,2
linkedin,sap,2.9,2774689,4322672,Male,Bangalore,Security Engineer,IT,Bachelor,Google Cloud Professional Data Engineer,Big Data,1,2
apple,happiest-minds,6.7,2945188,4296508,Male,Hyderabad,Release Manager,IT,Bachelor,Certified Cloud Security Professional (CCSP),Python,1,5
microsoft,oracle,7.5,1537095,2192353,Female,Hyderabad,Data Engineer,IT,PhD,Certified Kubernetes Security Specialist (CKS),Artificial Intelligence,1,2
hcl,accenture,8.3,823188,1316102,Male,Pune,Tech Lead,IT,Bachelor,Certified Data Professional (CDP),Microsoft Azure,3,2
uber,coforge,13.7,2222925,2701407,Male,Chennai,Data Engineer,IT,Bachelor,AWS Certified Data Analytics - Specialty,AWS,1,5
sap,cts,5.0,2331880,3102101,Male,Gurgaon,Cloud Engineer,IT,PhD,Microsoft Certified: Azure Solutions Architect Expert,GitHub Actions,2,3
valuelabs,virtusa,10.7,3081984,4626823,Male,Gurgaon,Data Scientist,IT,Master,Microsoft Certified: Azure Administrator Associate,Lambda Functions,5,4
sap,cts,8.5,2221032,3208235,Male,Noida,Scrum Master,IT,PhD,SAFe Agilist Certification,Tableau,2,3
oracle,linkedin,2.5,1056756,1625048,Female,Delhi,Quality Assurance Lead,IT,PhD,Google Cloud Professional Data Engineer,Power BI,2,1
sap,wipro,14.8,2432636,3291173,Female,Chennai,Senior Developer,IT,Master,AWS Cloud Practitioner,Microsoft Azure,2,3
salesforce,happiest-minds,3.6,2414591,3765873,Female,Delhi,Technical Lead,IT,Bachelor,ITIL Expert,MySQL,1,5
netflix,virtusa,4.1,2121221,3154022,Male,Gurgaon,Infrastructure Engineer,IT,Bachelor,Cisco Certified Network Associate (CCNA),GraphQL,1,4
microsoft,google,6.8,1325824,1716548,Male,Gurgaon,Performance Engineer,IT,Master,AWS Certified DevOps Engineer - Professional,Test Automation,1,1
ibm,infosys,13.6,920094,1388371,Female,Mumbai,AI Researcher,IT,Bachelor,Certified Cloud Security Professional (CCSP),Ansible,2,3
google,apple,5.1,2923520,4496501,Male,Kolkata,Business Analyst,IT,Master,None,Flask,1,1
hcl,apple,4.8,1480420,1969226,Male,Hyderabad,Senior Developer,IT,PhD,CompTIA Cloud+,Project Management,3,1
google,wipro,10.4,3108600,3866603,Male,Pune,Cloud Engineer,IT,PhD,None,Edge Computing,1,3
tcs,apple,3.3,2646607,4133114,Female,Hyderabad,Quality Assurance Lead,IT,Bachelor,Oracle MySQL Database Administration,MLOps,3,1
valuelabs,accenture,10.7,3337223,4963239,Male,Delhi,QA Engineer,IT,Master,Google Cloud Professional DevOps Engineer,Full Stack Development,5,2
salesforce,wipro,14.7,3159811,4384337,Female,Chennai,Machine Learning Engineer,IT,Bachelor,AWS Certified Machine Learning - Specialty,Kubernetes,1,3
oracle,linkedin,12.4,1096940,1754007,Female,Kolkata,Infrastructure Engineer,IT,Master,Google Cloud Professional Data Engineer,Angular,2,1
adobe,valuelabs,7.5,3078731,3809177,Female,Mumbai,Technical Lead,IT,Master,Cisco Certified Network Professional (CCNP),Cloud Computing,1,5
hexaware,netflix,14.9,2218658,3048187,Female,Chennai,Project Manager,IT,PhD,CompTIA Security+,Event-Driven Architecture,4,1
ibm,apple,5.8,1146145,1462535,Other,Kolkata,System Administrator,IT,PhD,AWS Certified Data Analytics - Specialty,MongoDB,2,1
wipro,apple,3.3,1159447,1528987,Male,Hyderabad,DevOps Engineer,IT,PhD,Certified Information Systems Auditor (CISA),OAuth,3,1
cts,wipro,6.3,1985292,2659832,Male,Mumbai,Network Engineer,IT,Bachelor,Microsoft Certified: Azure DevOps Engineer Expert,Data Visualization,3,3
netflix,microsoft,14.8,2392183,2936674,Female,Delhi,Cloud Architect,IT,PhD,Microsoft Certified: Azure Fundamentals,AWS,1,1
sap,infosys,12.0,3132198,4809935,Female,Kolkata,Machine Learning Engineer,IT,Master,CompTIA Cloud+,Python,2,3
valuelabs,deloitte,10.9,2110708,2973056,Male,Gurgaon,Solution Architect,IT,Bachelor,AWS Certified Developer - Associate,Vue.js,5,2
virtusa,zensar,2.4,1130187,1668983,Male,Chennai,Infrastructure Engineer,IT,Bachelor,Microsoft Certified: Azure AI Engineer Associate,MongoDB,4,4
virtusa,netflix,11.6,2007692,2957917,Female,Pune,Machine Learning Engineer,IT,Master,Certified Information Systems Auditor (CISA),OAuth,4,1
deloitte,tcs,9.2,1907395,2788743,Male,Chennai,Software Architect,IT,Master,Microsoft Certified: Azure Security Engineer Associate,Database Management,2,3
accenture,hcl,6.6,2414487,3063415,Female,Hyderabad,Mobile App Developer,IT,Bachelor,Microsoft Certified: Azure Solutions Architect Expert,FastAPI,2,3
coforge,sap,14.1,1396909,1770777,Male,Noida,Cloud Engineer,IT,PhD,Certified Kubernetes Administrator (CKA),Test Automation,5,2
valuelabs,hexaware,10.8,2978586,3889485,Other,Pune,Scrum Master,IT,Bachelor,CompTIA Cloud+,MongoDB,5,4
happiest-minds,cts,10.0,3041269,3913699,Female,Chennai,Business Analyst,IT,PhD,Oracle Database Administrator Certified Professional,Unit Testing,5,3
ibm,wipro,11.1,2554953,3698456,Male,Kolkata,Data Engineer,IT,Bachelor,Certified Scrum Master (CSM),Computer Vision,2,3
ibm,salesforce,1.8,1042734,1271420,Male,Pune,System Administrator,IT,Bachelor,Certified Information Security Manager (CISM),Integration Testing,2,1
sap,hexaware,2.4,2693680,4086158,Male,Kolkata,Senior Developer,IT,Master,Microsoft Certified: Azure AI Engineer Associate,Vulnerability Assessment,2,4
apple,happiest-minds,14.3,2146072,3000174,Female,Noida,Machine Learning Engineer,IT,PhD,Cisco Certified Network Associate (CCNA),Data Visualization,1,5
microsoft,zensar,4.2,3098083,4556427,Male,Mumbai,Site Reliability Engineer,IT,Master,Certified Information Systems Auditor (CISA),AWS,1,4
valuelabs,google,4.1,1153324,1576288,Male,Chennai,Machine Learning Engineer,IT,Master,AWS Certified Solutions Architect - Professional,Performance Testing,5,1
ibm,infosys,11.2,2986123,3652032,Male,Bangalore,Senior Developer,IT,Master,AWS Certified Solutions Architect - Associate,Data Science,2,3
deloitte,sap,8.6,2105605,3235790,Male,Hyderabad,Project Manager,IT,PhD,Microsoft Certified: Azure Data Scientist Associate,Python,2,2
coforge,valuelabs,5.7,2877091,4303639,Female,Pune,Scrum Master,IT,Bachelor,CompTIA A+,Big Data,5,5
cts,apple,5.6,2444609,3365184,Male,Mumbai,Mobile App Developer,IT,Master,AWS Certified SysOps Administrator - Associate,API Gateway,3,1
cts,apple,3.1,2143251,2809610,Female,Delhi,Quality Assurance Lead,IT,PhD,ITIL Foundation,Apache Spark,3,1
apple,tcs,3.5,1683520,2064871,Male,Mumbai,Database Administrator,IT,PhD,Oracle MySQL Database Administration,TypeScript,1,3
coforge,ibm,9.4,3046592,4153081,Male,Delhi,Database Administrator,IT,PhD,Microsoft Certified: Azure Security Engineer Associate,API Gateway,5,2
linkedin,coforge,13.5,1893964,2420291,Female,Delhi,Database Administrator,IT,PhD,Cisco Certified Network Associate (CCNA),Docker,1,5
amazon,tcs,8.7,2844115,3708313,Male,Noida,Scrum Master,IT,Bachelor,Microsoft Certified: Azure Data Engineer Associate,Integration Testing,1,3
valuelabs,infosys,8.8,1489927,2256420,Male,Hyderabad,Cybersecurity Specialist,IT,PhD,Salesforce Certified Administrator,Artificial Intelligence,5,3
deloitte,adobe,2.1,2338301,3299940,Female,Kolkata,Blockchain Developer,IT,Bachelor,Microsoft Certified: Azure Data Scientist Associate,Docker,2,1
linkedin,oracle,7.4,1729517,2616792,Male,Gurgaon,Cloud Engineer,IT,Master,Oracle Database Administrator Certified Professional,Python,1,2
deloitte,netflix,8.9,1139159,1457653,Female,Noida,DevOps Engineer,IT,Bachelor,Cisco Certified Network Associate (CCNA),Agile,2,1
coforge,uber,8.9,2518583,3354115,Male,Pune,Quality Assurance Lead,IT,PhD,Certified Scrum Master (CSM),Load Testing,5,1
coforge,zensar,1.3,1082980,1372077,Male,Pune,Release Manager,IT,Master,Google Cloud Associate Cloud Engineer,Penetration Testing,5,4
google,uber,4.8,2153829,2723417,Male,Chennai,Network Engineer,IT,Master,TensorFlow Developer Certificate,Ansible,1,1
cts,sap,2.8,2204221,3231336,Female,Delhi,DevOps Engineer,IT,PhD,Cisco Certified Network Professional (CCNP),Edge Computing,3,2
hexaware,cts,4.3,1915379,2615148,Male,Delhi,Solution Architect,IT,PhD,Google Cloud Professional Cloud Architect,Information Security,4,3
microsoft,linkedin,14.3,984086,1491233,Female,Noida,Site Reliability Engineer,IT,PhD,VMware Certified Professional (VCP),ElasticSearch,1,1
hcl,deloitte,6.6,3155651,5007493,Male,Kolkata,Cloud Architect,IT,Master,AWS Certified Data Analytics - Specialty,Cloud Computing,3,2
cts,linkedin,6.8,2563607,3425655,Female,Kolkata,Platform Engineer,IT,PhD,TensorFlow Developer Certificate,Flask,3,1
apple,hcl,14.9,2248943,2811032,Female,Bangalore,Business Analyst,IT,Bachelor,Certified Information Systems Security Professional (CISSP),Edge Computing,1,3
netflix,tcs,6.8,2347764,3693218,Male,Gurgaon,Data Analyst,IT,Bachelor,Microsoft Certified: Azure Data Scientist Associate,Tableau,1,3
accenture,virtusa,7.6,1628993,2388800,Female,Chennai,Infrastructure Engineer,IT,PhD,Google Cloud Associate Cloud Engineer,Test Automation,2,4
tcs,linkedin,12.4,2985800,4562655,Female,Noida,Mobile App Developer,IT,Bachelor,Red Hat Certified Engineer (RHCE),Java,3,1
apple,infosys,6.4,2279598,3401144,Male,Kolkata,Software Developer,IT,PhD,Microsoft Certified: Azure Security Engineer Associate,Natural Language Processing,1,3
uber,meta,13.8,3414153,4469340,Male,Bangalore,DevOps Engineer,IT,Master,SAFe Agilist Certification,Apache Spark,1,1
zensar,google,12.5,2700337,3455201,Male,Noida,Performance Engineer,IT,PhD,Certified Ethical Hacker (CEH),PostgreSQL,4,1
